IND,SP,SF,INA,INDrw,SPrw,SFrw,INArw,type,thresh,trial
0.04477611940298509,0.04403759192836673,0.18253108781689886,0.3781094527363184,0.07462686567164178,0.10990990147390661,0.33731107977746455,0.40298507462686567,subgroup-fair,20,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.0,6.306305921910393e-09,0.10447761038093123,0.5,instant-fair,20,0
0.04477611940298509,0.04403759192836673,0.18253108781689886,0.3781094527363184,0.07462686567164178,0.10990990147390661,0.33731107977746455,0.40298507462686567,subgroup-fair,27,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.0,6.306305921910393e-09,0.10447761038093123,0.5,instant-fair,27,0
0.10447761194029848,0.13335997278602585,0.1972089627565471,0.31343283582089554,0.10447761194029848,0.126126118513108,0.2131081097125198,0.29850746268656714,subgroup-fair,33,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.0,6.306305921910393e-09,0.10447761038093123,0.5,instant-fair,33,0
0.10447761194029848,0.13335997278602585,0.1972089627565471,0.31343283582089554,0.10447761194029848,0.126126118513108,0.2131081097125198,0.29850746268656714,subgroup-fair,40,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.0,6.306305921910393e-09,0.10447761038093123,0.5,instant-fair,40,0
0.14179104477611942,0.20783202029832262,0.22108874203996587,0.31343283582089554,0.10447761194029853,0.12612611851310804,0.24494046965008653,0.29850746268656714,subgroup-fair,47,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.0,6.306305921910393e-09,0.10447761038093123,0.5,instant-fair,47,0
0.14179104477611942,0.20783202029832262,0.22108874203996587,0.31343283582089554,0.10447761194029853,0.12612611851310804,0.24494046965008653,0.29850746268656714,subgroup-fair,53,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.9701492537313433,0.06666666444444447,0.01699196320483598,0.5671641791044776,instant-fair,53,0
0.20149253731343286,0.33424148561450573,0.1932068198181076,0.31343283582089554,0.10447761194029853,0.12612611851310804,0.24494046965008653,0.29850746268656714,subgroup-fair,60,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.8955223880597015,0.17297296703676668,0.09509592843546799,0.5895522388059702,instant-fair,60,0
0.20149253731343286,0.33424148561450573,0.1932068198181076,0.31343283582089554,0.16417910447761191,0.25945944740199706,0.2849241108596682,0.3283582089552239,subgroup-fair,67,0
0.0,1.0897994284775336e-08,0.08955224147917124,0.4925373134328358,0.7014925373134329,0.4855855688880779,0.02116545605101222,0.6567164179104478,instant-fair,67,0
0.17164179104477614,0.2982417728851792,0.3571914242651324,0.3880597014925373,0.16417910447761191,0.25945944740199706,0.2849241108596682,0.3283582089552239,subgroup-fair,73,0
0.8955223880597015,0.1729729538986291,0.08017055207102164,0.5671641791044776,0.7014925373134329,0.4855855688880779,0.02116545605101222,0.6567164179104478,instant-fair,73,0
0.17164179104477614,0.2982417728851792,0.3571914242651324,0.3880597014925373,0.1343283582089552,0.22432431258582944,0.4125862986081296,0.3880597014925373,subgroup-fair,80,0
0.7014925373134329,0.48558555574994033,0.036090832415458574,0.6119402985074627,0.43283582089552236,0.5423423222189765,0.005959307753629739,0.6567164179104478,instant-fair,80,0
0.1358363858363859,0.21681916884439703,0.017572603454853453,0.42786069651741293,0.13095238095238093,0.20414859680038758,0.03007265128965242,0.4226190476190476,subgroup-fair,20,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.0,6.315789113919834e-09,0.14285714115646259,0.5238095238095238,instant-fair,20,1
0.2133699633699634,0.39051352857049243,0.09515057669353078,0.417910447761194,0.13095238095238093,0.20414859680038758,0.03007265128965242,0.4226190476190476,subgroup-fair,27,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.0,6.315789113919834e-09,0.14285714115646259,0.5238095238095238,instant-fair,27,1
0.2133699633699634,0.39051352857049243,0.09515057669353078,0.417910447761194,0.23809523809523814,0.43973076825410384,0.11492791154024617,0.42857142857142855,subgroup-fair,33,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.0,6.315789113919834e-09,0.14285714115646259,0.5238095238095238,instant-fair,33,1
0.26556776556776557,0.4629878490722761,0.13553895718300657,0.373134328358209,0.3095238095238095,0.5480737465245327,0.12413474732644514,0.36904761904761907,subgroup-fair,40,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.0,6.315789113919834e-09,0.14285714115646259,0.5238095238095238,instant-fair,40,1
0.26556776556776557,0.4629878490722761,0.13553895718300657,0.373134328358209,0.3095238095238095,0.5480737465245327,0.12413474732644514,0.36904761904761907,subgroup-fair,47,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.0,6.315789113919834e-09,0.14285714115646259,0.5238095238095238,instant-fair,47,1
0.3211233211233211,0.5584126820346573,0.21832514843173356,0.3482587064676617,0.3571428571428572,0.6300228629900437,0.2472222109696507,0.34523809523809523,subgroup-fair,53,1
0.0,1.481481382015204e-09,0.13369963391599243,0.5174129353233831,0.9285714285714286,0.12705882134328284,0.08608055892169958,0.5952380952380952,instant-fair,53,1
0.3211233211233211,0.5584126820346573,0.21832514843173356,0.3482587064676617,0.3571428571428572,0.6300228629900437,0.2472222109696507,0.34523809523809523,subgroup-fair,60,1
0.9880952380952381,0.029411759713846464,0.06394810093815051,0.5671641791044776,0.7976190476190477,0.2529411698290961,0.17009488681667673,0.6130952380952381,instant-fair,60,1
