IND,SP,SF,INA,INDrw,SPrw,SFrw,INArw,type,thresh,trial
0.3215967465753425,0.5919375755411197,0.054970339387742984,0.3283582089552239,0.3972602739726027,0.6971595407912891,0.012767994278121697,0.3356164383561644,COMPAS,0.5,0
0.12821061643835618,0.21279960156254163,0.27149455990334687,0.6318407960199005,0.16438356164383566,0.23880533757851385,0.23503068770641083,0.6027397260273972,weighted,0.5,0
0.3934108527131783,0.6742082955955968,0.1827599949966514,0.3482587064676617,0.38888888888888884,0.6959180102887137,0.427728280666062,0.375,COMPAS,0.5,1
0.09786821705426352,0.08782229377716172,0.3993071034688015,0.6169154228855721,0.2222222222222222,0.009204096022526309,0.48006175307079746,0.6111111111111112,weighted,0.5,1
0.45303246885848475,0.7324800786634004,0.24024020357597853,0.2885572139303483,0.43373493975903615,0.6867924290733238,0.27824348160849344,0.27710843373493976,COMPAS,0.5,2
0.012354502756789953,0.40648940461683364,0.2175119915178103,0.6417910447761194,0.3493975903614458,0.3832210134175586,0.1627330617872707,0.6927710843373494,weighted,0.5,2
0.34679237548678005,0.6309422612188771,0.05662124612556585,0.3482587064676617,0.34146341463414637,0.6147342799467321,0.03749493600220011,0.34146341463414637,COMPAS,0.5,3
0.0012297601967615757,0.04757288739206905,0.32365429283886565,0.6019900497512438,0.13414634146341464,0.22101449449082794,0.36540213329285937,0.6036585365853658,weighted,0.5,3
0.287962962962963,0.5531392778669585,0.010404436255853522,0.36318407960199006,0.28395061728395066,0.5490751929658538,0.07425876048346258,0.3765432098765432,COMPAS,0.5,4
0.12962962962962965,0.01637003047993424,5.1307186832438845e-09,0.6417910447761194,0.0,0.20076838850419032,0.04695121841277522,0.6296296296296297,weighted,0.5,4
0.3814401622718053,0.7184067923516206,0.11549309865505752,0.39303482587064675,0.388235294117647,0.7472306249978613,0.25682545424297487,0.4176470588235294,COMPAS,0.5,5
0.30385395537525356,0.2215253040915826,0.13566777676337577,0.5621890547263682,0.3411764705882353,0.34092127068675426,0.19889612776707688,0.5470588235294118,weighted,0.5,5
0.5747694334650857,0.9484848118005829,0.15268950949682836,0.263681592039801,0.4782608695652174,0.8018518152731252,0.17513481399078057,0.2971014492753623,COMPAS,0.5,6
0.2776679841897233,0.20378788952077526,0.48692774269123906,0.6915422885572139,0.34782608695652173,0.1378306828811135,0.32248561347884425,0.6811594202898551,weighted,0.5,6
