col1,col2
1498176,2616
2729104,3504
4596736,4522
7290000,5664
11022400,6938
16032016,8336
22581504,9864
30958096,11522
41473600,13304
54464400,15218
70291456,17256
89340304,19424
112021056,21720
138768400,24144
170041600,26696
206324496,29376
248125504,32184
295977616,35120
350438400,38186
412090000,41376
481539136,44698
559417104,48144
646379776,51720
743107600,55424
850305600,59256
968703376,63218
